id,timestamp,agent_id,action,input_data,output_data,duration_ms,status,error_message,context
iact-insight-generato-1780225228-b593,2026-05-31 11:00:28,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}","{""period_days"": 7, ""habits_analyzed"": 4, ""insights"": [{""habit"": ""Planejar Pr\u00f3ximo Dia"", ""category"": ""produtividade"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Planejar Pr\u00f3ximo Dia' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Candidaturas Di\u00e1rias"", ""category"": ""carreira"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Candidaturas Di\u00e1rias' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Di\u00e1rio Pessoal"", ""category"": ""bem-estar"", ""streak"": 3, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Di\u00e1rio Pessoal' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Leitura (30min)"", ""category"": ""aprendizado"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Leitura (30min)' not done at all \u2014 schedule a specific slot""}], ""anomalies"": []}",16,success,,
iact-insight-generato-1780311624-b37c,2026-06-01 11:00:24,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}","{""period_days"": 7, ""habits_analyzed"": 4, ""insights"": [{""habit"": ""Planejar Pr\u00f3ximo Dia"", ""category"": ""produtividade"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Planejar Pr\u00f3ximo Dia' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Candidaturas Di\u00e1rias"", ""category"": ""carreira"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Candidaturas Di\u00e1rias' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Di\u00e1rio Pessoal"", ""category"": ""bem-estar"", ""streak"": 3, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Di\u00e1rio Pessoal' not done at all \u2014 schedule a specific slot""}, {""habit"": ""Leitura (30min)"", ""category"": ""aprendizado"", ""streak"": 0, ""period_completions"": 0, ""completion_pct"": 0.0, ""rating"": ""poor"", ""recommendation"": ""\u26a0\ufe0f  'Leitura (30min)' not done at all \u2014 schedule a specific slot""}], ""anomalies"": []}",6,success,,
iact-insight-generato-1780398014-2598,2026-06-02 11:00:14,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}","{""period_days"": 7, ""habits_analyzed"": 4, ""insights"": [{""habit"": ""Planejar Pr\u00f3ximo Dia"", ""category"": ""produtividade"", ""streak"": 0, ""period_completions"": 1, ""completion_pct"": 14.3, ""rating"": ""poor"", ""recommendation"": ""Try stacking 'Planejar Pr\u00f3ximo Dia' onto an existing routine""}, {""habit"": ""Candidaturas Di\u00e1rias"", ""category"": ""carreira"", ""streak"": 0, ""period_completions"": 1, ""completion_pct"": 14.3, ""rating"": ""poor"", ""recommendation"": ""Try stacking 'Candidaturas Di\u00e1rias' onto an existing routine""}, {""habit"": ""Di\u00e1rio Pessoal"", ""category"": ""bem-estar"", ""streak"": 3, ""period_completions"": 1, ""completion_pct"": 14.3, ""rating"": ""poor"", ""recommendation"": ""Try stacking 'Di\u00e1rio Pessoal' onto an existing routine""}, {""habit"": ""Leitura (30min)"", ""category"": ""aprendizado"", ""streak"": 0, ""period_completions"": 1, ""completion_pct"": 14.3, ""rating"": ""poor"", ""recommendation"": ""Try stacking 'Leitura (30min)' onto an existing routine""}], ""anomalies"": []}",21,success,,
iact-insight-generato-1780570807-2418,2026-06-04 11:00:07,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,32,error,database disk image is malformed,
iact-report-generator-1780693214-f41f,2026-06-05 21:00:14,report-generator,weekly_review,"{""data"": null, ""extra"": null}",,12,error,database disk image is malformed,
iact-insight-generato-1780743625-e9fb,2026-06-06 11:00:25,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,8,error,database disk image is malformed,
iact-insight-generato-1780916400-f653,2026-06-08 11:00:00,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,7,error,database disk image is malformed,
iact-insight-generato-1781002812-9dfc,2026-06-09 11:00:12,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,76,error,database disk image is malformed,
iact-insight-generato-1781089201-7a8b,2026-06-10 11:00:01,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,31,error,database disk image is malformed,
iact-insight-generato-1781175619-ee85,2026-06-11 11:00:19,insight-generator,analyse_habits,"{""data"": {""days"": 7}, ""extra"": null}",,60,error,database disk image is malformed,
