id,title,description,project_id,parent_task_id,priority,status,progress_pct,estimated_hours,actual_hours,sort_order,assigned_to,tags,recurrence,category,due_date,completed_at,created_at,updated_at
task-work-terminar-o-planejamento-da-campanha-e6aae7,Terminar o planejamento da campanha de lançamento do livro da tamara !!,/Users/paulorezende/Library/Mobile\ Documents/com\~apple\~CloudDocs/AI/Agentic\ /AI\ Agents/Opencode/projects/mkt\ book\ tams/Marketing\ team,proj-work,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:08:02,2026-06-09 09:08:02
task-personal-ai-powerhouse-new-reminder-01d0ea,New Reminder,,proj-personal-ai-powerhouse,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:28:18,2026-06-09 09:28:18
task-everyday-do-the-laundry-723c36,Do the laundry,,proj-everyday,,normal,pending,0,,,0,,,,general,,,2026-06-09 09:32:21,2026-06-09 09:32:21
task_001,Complete personal AI space setup,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,Personal AI Powerhouse,,,2026-05-06,2026-05-22 00:25:27
task_002,Design agent communication protocols,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,Personal AI Powerhouse,,,2026-05-06,2026-05-21 19:48:10
task_003,Build habit tracking system,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,Personal AI Powerhouse,,,2026-05-06,2026-05-22 00:25:27
task_004,Review and archive old projects,,proj-knowledge-management,,normal,completed,0,,,0,,,,Knowledge Management,,,2026-05-01,2026-05-21 19:48:10
task-personal-ai-powerhouse-refine-and-test-system-integration,Refine and test system integration !!,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-21 19:48:10,2026-05-22 17:00:48
task-projects-check-email-sent-by-tams-about-the-n,Check email sent by tams about the NEDS related projects,#Project from the lady that deals with sexual harassment prevention and education,proj-projects,,normal,completed,0,,,0,,,,general,,,2026-05-21 19:48:10,2026-05-21 19:48:10
task-projects-send-email-about-the-neds-related-pr,Send email about the NEDS related projects !!,#Project from the lady that deals with sexual harassment prevention and education,proj-projects,,normal,completed,0,,,0,,,,general,,,2026-05-22 00:25:27,2026-05-22 00:25:27
task-projects-create-pdf-for-neds-project,Create pdf for Neds project,Create a more edital documentation version,proj-projects,,normal,completed,0,,,0,,,,general,,,2026-05-22 00:25:27,2026-05-23 15:21:45
task-everyday-pick-up-the-laundry,Pick up the laundry !!,,proj-everyday,,normal,completed,0,,,0,,,,general,,,2026-05-22 00:25:27,2026-05-23 17:39:39
task-projects-write-and-send-email-about-the-neds,write and send email about the NEDS project !!,#Project from the lady that deals with sexual harassment prevention and education,proj-projects,,normal,completed,0,,,0,,,,general,,,2026-05-22 17:00:48,2026-05-23 15:21:45
task-everyday-tirar-roupa-varal,Tirar roupa varal,,proj-everyday,,normal,completed,0,,,0,,,,general,,,2026-05-24 23:15:37,2026-05-27 21:43:13
task-personal-ai-powerhouse-finish-the-whatsapp-integration,Finish the WhatsApp integration !!,Evaluating the code to diagnose how much is compromised/broken,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-28 11:41:41,2026-05-28 13:59:24
task-personal-ai-powerhouse-expand-data-sources-for-behaviors-ta,Expand data sources for behaviors table on self.db,See if it’s possible to run a ingestion based on the many opencode sessions,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-28 07:25:04,2026-05-28 17:41:24
task-personal-ai-powerhouse-finish-the-whatsapp-integration-1,Finish the WhatsApp integration,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-27 21:45:14,2026-05-28 21:55:02
task-everyday-pick-up-the-laundry-1,Pick up the laundry,,proj-everyday,,normal,completed,0,,,0,,,,general,2026-05-22 00:00,,2026-05-28 21:55:02,2026-05-28 21:55:02
task-projects-write-and-send-email-about-the-neds-1,write and send email about the NEDS project,,proj-projects,,normal,completed,0,,,0,,,,general,2026-05-22 00:00,,2026-05-28 21:55:02,2026-05-28 21:55:02
task-personal-ai-powerhouse-refine-and-test-system-integration-1,Refine and test system integration,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-28 21:55:02,2026-05-28 21:55:02
task-personal-ai-powerhouse-run-a-batch-of-tests-to-check-query,Run a batch of tests to check query results on my personal data,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-27 22:00:22,2026-05-29 00:02:16
task-sisyphus-sisyphus-teste-unitario,Sisyphus - Teste Unitario,Testando criacao de reminder via codigo,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 08:02:10,2026-05-29 08:02:10
task-sisyphus-sisyphus-briefing-matinal,Sisyphus - Briefing Matinal,🌅 Bom dia!,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 08:54:24,2026-05-29 12:08:31
task-sisyphus-sisyphus-habitos-em-risco,Sisyphus - Habitos em Risco,⚠️ Hábitos precisando de atenção,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 08:54:24,2026-05-29 12:08:31
task-sisyphus-sisyphus-metas-proximas,Sisyphus - Metas Proximas,🎯 Metas perto do prazo,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 08:56:25,2026-05-29 12:08:31
task-sisyphus-sisyphus-compromisso-proximo,Sisyphus - Compromisso Proximo,🔔 Em breve na agenda,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 11:45:05,2026-05-29 12:08:31
task-proj-automations-24,Morning Briefing (07:00),"Daily 07:00 briefing: greeting + llm_opener + tasks + calendar + habits + goals. Delivers to WhatsApp, macOS Notifications, Apple Reminders.",proj-automations,,high,completed,0,,,0,,"briefing,whatsapp,notifications,reminders",,automation,,,2026-05-29T18:24:26.655447,2026-05-29T18:24:26.655447
task-proj-automations-25,Midday Checkpoint (12:00),Daily 12:00 checkpoint: greeting + tasks_remaining + habits_today_status + habits_at_risk. Multi-channel delivery.,proj-automations,,high,completed,0,,,0,,"briefing,checkpoint,habits",,automation,,,2026-05-29T18:24:26.655447,2026-05-29T18:24:26.655447
task-proj-automations-27,End of Day Briefing (18:00),Daily 18:00 wrap-up: tasks_completed_today + habits_completed_today. Multi-channel delivery.,proj-automations,,high,completed,0,,,0,,"briefing,eod,summary",,automation,,,2026-05-29T18:24:26.655447,2026-05-29T18:24:26.655447
task-9d04af77,Per-Section Reminder System,Apple Reminders split into individual section tiles (e.g. '📋 Tarefas do Dia') instead of one blob. One reminder per data section.,proj-automations,,high,completed,0,,,0,,"reminders,apple,per-section",,automation,,,2026-05-29T18:24:51.437573,2026-05-29T18:24:51.437573
task-43b9b05a,Project Name Display in Briefings,Each task shows #ProjectName after title (e.g. 'Comprar pregador #Groceries'). SQL JOIN with projects table.,proj-automations,,normal,completed,0,,,0,,"briefing,display,projects",,automation,,,2026-05-29T18:24:51.437573,2026-05-29T18:24:51.437573
task-ad43b6cf,Briefing Pipeline Diagram,Comprehensive Mermaid flowchart showing 3-phase pipeline (fetch → process → output) for all 3 briefing rules.,proj-automations,,low,completed,0,,,0,,"diagram,mermaid,documentation",,documentation,,,2026-05-29T18:24:51.437573,2026-05-29T18:24:51.437573
task-c94ecebd,WhatsApp Jobs Import Pipeline,Parse WhatsApp .txt exports → extract job URLs (30+ job boards) → filter March 2026+ → fetch HTML metadata → generate .md files in obsidian/jobs/,proj-data-pipeline,,high,completed,0,,,0,,"whatsapp,import,jobs,obsidian",,data-pipeline,,,2026-05-29T18:24:51.437573,2026-05-29T18:24:51.437573
task-4edfbfba,Sync Scripts Setup,"All 5 sync scripts wired: sync_jobs.py, sync_self.py, sync_reminders.py, sync_calendar.py, sync_knowledge.py. Scheduler runs hourly.",proj-data-pipeline,,high,completed,0,,,0,,"sync,scheduler,databases",,data-pipeline,,,2026-05-29T18:24:51.437573,2026-05-29T18:24:51.437573
task-515b3817,Sync Scanner,"Automated scan of all databases for consistency, duplicates, and missing records.",proj-data-pipeline,,normal,completed,0,,,0,,"scanner,validation,consistency",,data-pipeline,,,2026-05-29T18:25:04.848323,2026-05-29T18:25:04.848323
task-a5a93748,Jobs CLI Commands,"cli.py additions: jobs sync, jobs list, jobs statuses. Manages job applications from command line.",proj-job-tracking,,high,completed,0,,,0,,"cli,jobs,commands",,tooling,,,2026-05-29T18:25:04.848323,2026-05-29T18:25:04.848323
task-3a044cf3,Job Statuses Tracker,"Track application statuses: applied, interview, offer, rejected, withdrawn. Syncs with jobs.db.",proj-job-tracking,,normal,completed,0,,,0,,"tracker,statuses,jobs",,tooling,,,2026-05-29T18:25:04.848323,2026-05-29T18:25:04.848323
task-automations-morning-briefing-07-00,Morning Briefing (07:00),Daily 07:00 briefing: greeting + llm_opener + tasks + calendar + habits + goals. Tri-channel delivery.,proj-automations,,high,completed,0,,,0,,"briefing,whatsapp,notifications,reminders",,automation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-automations-midday-checkpoint-12-00,Midday Checkpoint (12:00),Daily 12:00 checkpoint: greeting + tasks_remaining + habits_today_status + habits_at_risk. Tri-channel.,proj-automations,,high,completed,0,,,0,,"briefing,checkpoint,habits",,automation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-automations-end-of-day-briefing-18-00,End of Day Briefing (18:00),Daily 18:00 wrap-up: tasks_completed_today + habits_completed_today. Tri-channel delivery.,proj-automations,,high,completed,0,,,0,,"briefing,eod,summary",,automation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-automations-per-section-reminder-system,Per-Section Reminder System,Apple Reminders split into individual section tiles per data section instead of one blob per rule.,proj-automations,,high,completed,0,,,0,,"reminders,apple,per-section",,automation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-automations-project-name-display-in-briefings,Project Name Display in Briefings,Each task shows #ProjectName (e.g. 'Comprar pregador #Groceries'). SQL JOIN with projects.,proj-automations,,normal,completed,0,,,0,,"briefing,display,projects",,automation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-automations-briefing-pipeline-diagram,Briefing Pipeline Diagram,Mermaid flowchart: 3-phase pipeline (fetch → process → output) for all 3 briefing rules.,proj-automations,,low,completed,0,,,0,,"diagram,mermaid,documentation",,documentation,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-data-pipeline-whatsapp-jobs-import-pipeline,WhatsApp Jobs Import Pipeline,Parse WhatsApp .txt exports → extract job URLs → filter Mar 2026+ → fetch metadata → .md files.,proj-data-pipeline,,high,completed,0,,,0,,"whatsapp,import,jobs,obsidian",,data-pipeline,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-data-pipeline-sync-scripts-setup,Sync Scripts Setup,"All 5 sync scripts wired: sync_jobs, sync_self, sync_reminders, sync_calendar, sync_knowledge.",proj-data-pipeline,,high,completed,0,,,0,,"sync,scheduler,databases",,data-pipeline,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-data-pipeline-sync-scanner,Sync Scanner,"Automated scan of all databases for consistency, duplicates, and missing records.",proj-data-pipeline,,normal,completed,0,,,0,,"scanner,validation,consistency",,data-pipeline,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-job-tracking-jobs-cli-commands,Jobs CLI Commands,"cli.py additions: jobs sync, jobs list, jobs statuses. CLI job management.",proj-job-tracking,,high,completed,0,,,0,,"cli,jobs,commands",,tooling,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-job-tracking-job-statuses-tracker,Job Statuses Tracker,"Track statuses: applied, interview, offer, rejected, withdrawn. Syncs with jobs.db.",proj-job-tracking,,normal,completed,0,,,0,,"tracker,statuses,jobs",,tooling,,,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
task-job-applications-update-job-application-list,Update job application list,Fetch urls from wpp chat,proj-job-applications,,normal,completed,0,,,0,,,,general,,,2026-05-27 15:18:07,2026-05-29 21:35:19
task-job-applications-create-a-position-tracker-database,Create a position tracker database,,proj-job-applications,,normal,completed,0,,,0,,,,general,,,2026-05-29 13:30:24,2026-05-29 21:35:19
task-data-pipeline-seed-habits-and-calendar-data,Seed Habits and Calendar Data,Briefings show 0 habits and 0 calendar events. Seed from Apple Calendar and habit tracking.,proj-data-pipeline,,high,completed,0,,,0,,"seed,habits,calendar,data",,data-pipeline,,2026-05-29T18:44:18.792350,2026-05-29T18:35:11.983335,2026-05-29T18:44:18.792350
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 22:28:40,2026-05-29 22:30:41
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-1,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 22:30:41,2026-05-29 22:30:41
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-2,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 22:43:52,2026-05-29 22:45:53
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-3,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 22:45:53,2026-05-29 22:45:53
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-4,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 23:21:25,2026-05-29 23:22:47
task-sisyphus-sisyphus-habitos-em-risco-1,Sisyphus - Habitos em Risco,⚠️ Hábitos precisando de atenção (1),proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 23:32:35,2026-05-29 23:32:52
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-5,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-29 23:57:55,2026-05-29 23:58:05
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-6,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:00:57,2026-05-30 00:01:58
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-7,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:01:58,2026-05-30 00:02:58
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-8,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:02:58,2026-05-30 00:03:07
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-9,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:03:59,2026-05-30 00:08:09
task-sisyphus-sisyphus-habitos-em-risco-2,Sisyphus - Habitos em Risco,⚠️ Hábitos precisando de atenção (1),proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:07:01,2026-05-30 00:08:09
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-10,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:13:05,2026-05-30 00:13:12
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-11,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:25:21,2026-05-30 00:29:24
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-12,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:46:38,2026-05-30 00:49:40
task-sisyphus-sisyphus-habitos-em-risco-3,Sisyphus - Habitos em Risco,⚠️ Hábitos precisando de atenção (1),proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:49:40,2026-05-30 00:49:40
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-13,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:56:45,2026-05-30 00:57:45
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-14,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 00:57:45,2026-05-30 00:59:47
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-15,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 01:16:59,2026-05-30 01:18:00
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-16,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 01:18:00,2026-05-30 01:20:44
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-17,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 01:51:31,2026-05-30 01:51:59
task-sisyphus-tarefas-do-dia-sisyphus-briefing-mat-18,📋 Tarefas do Dia (Sisyphus - Briefing Matinal),"Comprar pregador #Groceries, [normal]",proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 01:59:36,2026-05-30 02:02:29
task-job-tracking-create-position-tracker-database,Create Position Tracker Database,"Extend jobs.db with positions table: company, role, location, salary, timeline.",proj-job-tracking,,normal,completed,0,,,0,,"database,positions,tracking",,tooling,,2026-05-29,2026-05-29T18:35:11.983335,2026-05-29T18:35:11.983335
804ba12922694deb888223077dbdef2a,Design agent communication protocols,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-30 03:56:56,2026-05-30 03:56:56
9ec467cecbee4bd18b0343984428e4fe,Build habit tracking system,,proj-personal-ai-powerhouse,,normal,completed,0,,,0,,,,general,,,2026-05-30 03:56:56,2026-05-30 03:56:56
6102ab777421436190b76e3309fdd719,Sisyphus - Tarefas Atrasadas,⚠️ Tarefas atrasadas (3),proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 05:07:57,2026-05-30 05:43:00
6e159dc794614b5481bc946a179cce3b,📅 Agenda de Hoje (Sisyphus - Briefing Matinal),Standup Diário 2026-05-30 09:00,proj-sisyphus,,normal,completed,0,,,0,,,,general,,,2026-05-30 05:16:42,2026-05-30 05:43:00
task-groceries-comprar-pregador,Comprar pregador,,proj-groceries,,normal,completed,0,,,0,,,,general,,,2026-05-23 17:40:39,2026-05-30 07:55:30
task-job-applications-apply-my-profile-on-the-job-position,Apply my profile on the job positions !!,Keep track on the sqlite database jobs.db,proj-job-applications,,normal,completed,0,,,0,,,,general,,,2026-05-29 21:38:41,2026-05-30 07:55:30
task-groceries-comprar-saco-de-lixo,Comprar saco de lixo,,proj-groceries,,normal,completed,0,,,0,,,,general,,,2026-05-23 17:43:22,2026-06-02 17:01:52
task-data-pipeline-add-due-dates-to-tasks,Add Due Dates to Tasks,Most tasks have due_date=NULL. Set proper dates for time-based automation filters.,proj-data-pipeline,,normal,completed,0,,,0,,"tasks,due-dates,data-quality",,data-pipeline,2026-05-30,2026-06-02 14:06:05,2026-05-29T18:35:11.983335,2026-06-02 14:06:05
c2db7fecae6543fa8fe438faf9f35760,Add Due Dates to Tasks !,Most tasks have due_date=NULL. Set proper dates for time-based automation filters.,proj-data-pipeline,,normal,completed,0,,,0,,,,general,,,2026-05-30 07:53:46,2026-06-02 17:01:52
f9b5cda517ae48cba335d37867ca06f8,Refine the data flow and  data,,proj-automations,,normal,completed,0,,,0,,,,general,,2026-06-02 14:06:05,2026-05-31 17:06:16,2026-06-02 14:06:05
80e2c932a710480ebbbe3965bd4b170c,Refine the data flow and  data handling,,proj-data-pipeline,,normal,completed,0,,,0,,,,general,,,2026-05-31 17:07:16,2026-06-02 17:01:52
acc45d9a609f4f888e401d36ef5e2d13,Consider code,,proj-automations,,normal,completed,0,,,0,,,,general,,2026-06-02 14:06:05,2026-05-31 17:16:20,2026-06-02 14:06:05
task-everyday-lavar-panos-de-chao,Lavar panos de chão,,proj-everyday,,normal,completed,0,1.0,,0,,,,laundry,,,2026-05-23 17:40:39,2026-06-09 09:08:02
task-everyday-estender-roupa,Estender roupa,,proj-everyday,,normal,completed,0,0.3,,0,,,,laundry,,,2026-05-24 23:16:37,2026-06-09 09:08:02
